 Time =     0.00000 a.u.     0.0000000 fs	 X=   0.0000000000 Y=   1.9482425909 Z=   0.0000000000 Tot=   1.9482425909
 Time =     0.00000 a.u.     0.0000000 fs	 X=   0.0000000000 Y=   1.9482425909 Z=  -0.0000000000 Tot=   1.9482425909
 Time =     0.05000 a.u.     0.0012094 fs	 X=  -0.0000000000 Y=   1.9482395054 Z=  -0.0000000000 Tot=   1.9482395054
 Time =     0.10000 a.u.     0.0024189 fs	 X=   0.0000000000 Y=   1.9482339556 Z=  -0.0000000000 Tot=   1.9482339556
 Time =     0.15000 a.u.     0.0036283 fs	 X=  -0.0000000000 Y=   1.9482287698 Z=  -0.0000000000 Tot=   1.9482287698
 Time =     0.20000 a.u.     0.0048378 fs	 X=   0.0000000000 Y=   1.9482238670 Z=  -0.0000000000 Tot=   1.9482238670
 Time =     0.25000 a.u.     0.0060472 fs	 X=  -0.0000000000 Y=   1.9482191492 Z=  -0.0000000000 Tot=   1.9482191492
 Time =     0.30000 a.u.     0.0072567 fs	 X=   0.0000000000 Y=   1.9482144154 Z=  -0.0000000000 Tot=   1.9482144154
 Time =     0.35000 a.u.     0.0084661 fs	 X=  -0.0000000000 Y=   1.9482099125 Z=   0.0000000000 Tot=   1.9482099125
 Time =     0.40000 a.u.     0.0096755 fs	 X=   0.0000000000 Y=   1.9482057531 Z=  -0.0000000000 Tot=   1.9482057531
 Time =     0.45000 a.u.     0.0108850 fs	 X=  -0.0000000000 Y=   1.9482023262 Z=   0.0000000000 Tot=   1.9482023262
 Time =     0.50000 a.u.     0.0120944 fs	 X=   0.0000000000 Y=   1.9481994138 Z=  -0.0000000000 Tot=   1.9481994138
 Time =     0.55000 a.u.     0.0133039 fs	 X=  -0.0000000000 Y=   1.9481970518 Z=   0.0000000000 Tot=   1.9481970518
 Time =     0.60000 a.u.     0.0145133 fs	 X=  -0.0000000000 Y=   1.9481948157 Z=  -0.0000000000 Tot=   1.9481948157
 Time =     0.65000 a.u.     0.0157227 fs	 X=  -0.0000000000 Y=   1.9481929601 Z=   0.0000000000 Tot=   1.9481929601
 Time =     0.70000 a.u.     0.0169322 fs	 X=  -0.0000000000 Y=   1.9481913988 Z=  -0.0000000000 Tot=   1.9481913988
 Time =     0.75000 a.u.     0.0181416 fs	 X=  -0.0000000000 Y=   1.9481905839 Z=   0.0000000000 Tot=   1.9481905839
 Time =     0.80000 a.u.     0.0193511 fs	 X=  -0.0000000000 Y=   1.9481902379 Z=  -0.0000000000 Tot=   1.9481902379
 Time =     0.85000 a.u.     0.0205605 fs	 X=  -0.0000000000 Y=   1.9481904545 Z=   0.0000000000 Tot=   1.9481904545
 Time =     0.90000 a.u.     0.0217700 fs	 X=   0.0000000000 Y=   1.9481907116 Z=  -0.0000000000 Tot=   1.9481907116
 Time =     0.95000 a.u.     0.0229794 fs	 X=  -0.0000000000 Y=   1.9481911900 Z=   0.0000000000 Tot=   1.9481911900
 Time =     1.00000 a.u.     0.0241888 fs	 X=   0.0000000000 Y=   1.9481917046 Z=  -0.0000000000 Tot=   1.9481917046
 Time =     1.05000 a.u.     0.0253983 fs	 X=  -0.0000000000 Y=   1.9481926774 Z=   0.0000000000 Tot=   1.9481926774
 Time =     1.10000 a.u.     0.0266077 fs	 X=  -0.0000000000 Y=   1.9481939621 Z=   0.0000000000 Tot=   1.9481939621
 Time =     1.15000 a.u.     0.0278172 fs	 X=  -0.0000000000 Y=   1.9481954423 Z=   0.0000000000 Tot=   1.9481954423
 Time =     1.20000 a.u.     0.0290266 fs	 X=  -0.0000000000 Y=   1.9481969487 Z=   0.0000000000 Tot=   1.9481969487
 Time =     1.25000 a.u.     0.0302361 fs	 X=  -0.0000000000 Y=   1.9481982716 Z=   0.0000000000 Tot=   1.9481982716
 Time =     1.30000 a.u.     0.0314455 fs	 X=  -0.0000000000 Y=   1.9481995255 Z=   0.0000000000 Tot=   1.9481995255
 Time =     1.35000 a.u.     0.0326549 fs	 X=  -0.0000000000 Y=   1.9482007645 Z=   0.0000000000 Tot=   1.9482007645
 Time =     1.40000 a.u.     0.0338644 fs	 X=  -0.0000000000 Y=   1.9482021977 Z=   0.0000000000 Tot=   1.9482021977
 Time =     1.45000 a.u.     0.0350738 fs	 X=   0.0000000000 Y=   1.9482036511 Z=   0.0000000000 Tot=   1.9482036511
 Time =     1.50000 a.u.     0.0362833 fs	 X=   0.0000000000 Y=   1.9482050909 Z=   0.0000000000 Tot=   1.9482050909
 Time =     1.55000 a.u.     0.0374927 fs	 X=   0.0000000000 Y=   1.9482062454 Z=   0.0000000000 Tot=   1.9482062454
 Time =     1.60000 a.u.     0.0387021 fs	 X=  -0.0000000000 Y=   1.9482072603 Z=  -0.0000000000 Tot=   1.9482072603
 Time =     1.65000 a.u.     0.0399116 fs	 X=   0.0000000000 Y=   1.9482081354 Z=  -0.0000000000 Tot=   1.9482081354
 Time =     1.70000 a.u.     0.0411210 fs	 X=   0.0000000000 Y=   1.9482091703 Z=  -0.0000000000 Tot=   1.9482091703
 Time =     1.75000 a.u.     0.0423305 fs	 X=   0.0000000000 Y=   1.9482102479 Z=  -0.0000000000 Tot=   1.9482102479
 Time =     1.80000 a.u.     0.0435399 fs	 X=   0.0000000000 Y=   1.9482114293 Z=  -0.0000000000 Tot=   1.9482114293
