 Time =     0.00000 a.u.     0.0000000 fs	 X=   0.0000000000 Y=   1.9482425909 Z=   0.0000000000 Tot=   1.9482425909
 Time =     0.00000 a.u.     0.0000000 fs	 X=   0.0000000000 Y=   1.9482425909 Z=  -0.0000000000 Tot=   1.9482425909
 Time =     0.05000 a.u.     0.0012094 fs	 X=  -0.0000000000 Y=   1.9482425908 Z=  -0.0000032020 Tot=   1.9482425908
 Time =     0.10000 a.u.     0.0024189 fs	 X=  -0.0000000000 Y=   1.9482425906 Z=  -0.0000090943 Tot=   1.9482425906
 Time =     0.15000 a.u.     0.0036283 fs	 X=  -0.0000000000 Y=   1.9482425903 Z=  -0.0000146455 Tot=   1.9482425904
 Time =     0.20000 a.u.     0.0048378 fs	 X=  -0.0000000000 Y=   1.9482425900 Z=  -0.0000199037 Tot=   1.9482425901
 Time =     0.25000 a.u.     0.0060472 fs	 X=  -0.0000000000 Y=   1.9482425896 Z=  -0.0000248927 Tot=   1.9482425898
 Time =     0.30000 a.u.     0.0072567 fs	 X=  -0.0000000000 Y=   1.9482425892 Z=  -0.0000297839 Tot=   1.9482425894
 Time =     0.35000 a.u.     0.0084661 fs	 X=   0.0000000000 Y=   1.9482425886 Z=  -0.0000343145 Tot=   1.9482425889
 Time =     0.40000 a.u.     0.0096755 fs	 X=   0.0000000000 Y=   1.9482425880 Z=  -0.0000384274 Tot=   1.9482425884
 Time =     0.45000 a.u.     0.0108850 fs	 X=   0.0000000000 Y=   1.9482425873 Z=  -0.0000417284 Tot=   1.9482425878
 Time =     0.50000 a.u.     0.0120944 fs	 X=   0.0000000000 Y=   1.9482425867 Z=  -0.0000444425 Tot=   1.9482425872
 Time =     0.55000 a.u.     0.0133039 fs	 X=   0.0000000000 Y=   1.9482425861 Z=  -0.0000464619 Tot=   1.9482425867
 Time =     0.60000 a.u.     0.0145133 fs	 X=   0.0000000000 Y=   1.9482425856 Z=  -0.0000482063 Tot=   1.9482425862
 Time =     0.65000 a.u.     0.0157227 fs	 X=   0.0000000000 Y=   1.9482425851 Z=  -0.0000493962 Tot=   1.9482425857
 Time =     0.70000 a.u.     0.0169322 fs	 X=   0.0000000000 Y=   1.9482425846 Z=  -0.0000501765 Tot=   1.9482425852
 Time =     0.75000 a.u.     0.0181416 fs	 X=   0.0000000000 Y=   1.9482425841 Z=  -0.0000500967 Tot=   1.9482425848
 Time =     0.80000 a.u.     0.0193511 fs	 X=   0.0000000000 Y=   1.9482425838 Z=  -0.0000494594 Tot=   1.9482425844
 Time =     0.85000 a.u.     0.0205605 fs	 X=   0.0000000000 Y=   1.9482425835 Z=  -0.0000481375 Tot=   1.9482425841
 Time =     0.90000 a.u.     0.0217700 fs	 X=   0.0000000000 Y=   1.9482425834 Z=  -0.0000466543 Tot=   1.9482425840
 Time =     0.95000 a.u.     0.0229794 fs	 X=   0.0000000000 Y=   1.9482425834 Z=  -0.0000448301 Tot=   1.9482425839
 Time =     1.00000 a.u.     0.0241888 fs	 X=   0.0000000000 Y=   1.9482425834 Z=  -0.0000428745 Tot=   1.9482425839
 Time =     1.05000 a.u.     0.0253983 fs	 X=   0.0000000000 Y=   1.9482425835 Z=  -0.0000403941 Tot=   1.9482425839
 Time =     1.10000 a.u.     0.0266077 fs	 X=   0.0000000000 Y=   1.9482425837 Z=  -0.0000375389 Tot=   1.9482425841
 Time =     1.15000 a.u.     0.0278172 fs	 X=   0.0000000000 Y=   1.9482425840 Z=  -0.0000344438 Tot=   1.9482425843
 Time =     1.20000 a.u.     0.0290266 fs	 X=   0.0000000000 Y=   1.9482425844 Z=  -0.0000312759 Tot=   1.9482425847
 Time =     1.25000 a.u.     0.0302361 fs	 X=   0.0000000000 Y=   1.9482425848 Z=  -0.0000282808 Tot=   1.9482425850
 Time =     1.30000 a.u.     0.0314455 fs	 X=   0.0000000000 Y=   1.9482425853 Z=  -0.0000253253 Tot=   1.9482425855
 Time =     1.35000 a.u.     0.0326549 fs	 X=   0.0000000000 Y=   1.9482425858 Z=  -0.0000223932 Tot=   1.9482425859
 Time =     1.40000 a.u.     0.0338644 fs	 X=   0.0000000000 Y=   1.9482425863 Z=  -0.0000192423 Tot=   1.9482425864
 Time =     1.45000 a.u.     0.0350738 fs	 X=   0.0000000000 Y=   1.9482425868 Z=  -0.0000161101 Tot=   1.9482425869
 Time =     1.50000 a.u.     0.0362833 fs	 X=   0.0000000000 Y=   1.9482425874 Z=  -0.0000130121 Tot=   1.9482425874
 Time =     1.55000 a.u.     0.0374927 fs	 X=   0.0000000000 Y=   1.9482425879 Z=  -0.0000102955 Tot=   1.9482425879
 Time =     1.60000 a.u.     0.0387021 fs	 X=   0.0000000000 Y=   1.9482425884 Z=  -0.0000077568 Tot=   1.9482425884
 Time =     1.65000 a.u.     0.0399116 fs	 X=   0.0000000000 Y=   1.9482425888 Z=  -0.0000054327 Tot=   1.9482425888
 Time =     1.70000 a.u.     0.0411210 fs	 X=   0.0000000000 Y=   1.9482425892 Z=  -0.0000029511 Tot=   1.9482425892
 Time =     1.75000 a.u.     0.0423305 fs	 X=   0.0000000000 Y=   1.9482425895 Z=  -0.0000005036 Tot=   1.9482425895
 Time =     1.80000 a.u.     0.0435399 fs	 X=   0.0000000000 Y=   1.9482425898 Z=   0.0000019830 Tot=   1.9482425898
